title,current price,full day fee,fluctuation rate,face value,market cap,number of listed shares,foreigner ratio,trading volume,PER,ROE
세방전지,"55,500",100,-0.18%,500,"14,000","7,770",22.37,"166,875",18.14,3.58
TIGER 200 IT,"31,055",90,-0.29%,0,"24,880","7,726",0.10,"24,414",N/A,N/A
신세계인터내셔날,"21,250",600,+2.91%,"1,000","35,700","7,586",5.07,"200,338",6.41,15.29
프레스티지바이오파마,"12,520",60,+0.48%,0,"60,096","7,524",63.33,"662,675",-5.16,-32.84
DN오토모티브,"75,200",200,-0.27%,500,"9,994","7,515",1.77,"22,628",4.16,22.81
CJ CGV,"15,700",280,+1.82%,500,"47,726","7,493",5.52,"182,535",-4.14,-55.24
KG케미칼,"53,200",300,+0.57%,"5,000","13,866","7,377",7.12,"2,317,172",2.43,47.97
케이카,"15,210",80,-0.52%,500,"48,087","7,314",5.31,"638,401",24.10,11.65
효성중공업,"78,100","1,800",-2.25%,"5,000","9,325","7,282",10.51,"99,566",71.26,1.07
SNT모티브,"49,650",500,+1.02%,"5,000","14,623","7,260",18.67,"21,304",8.30,10.08
미원에스씨,"139,700","3,800",+2.80%,500,"5,100","7,125",0.46,"2,649",10.99,18.38
KCC글라스,"43,900",150,+0.34%,"1,000","15,971","7,011",8.03,"27,284",7.46,6.64
KODEX 자동차,"18,645",480,-2.51%,0,"37,450","6,983",0.02,"1,208,439",N/A,N/A
대한해운,"2,170",10,-0.46%,500,"319,177","6,926",6.44,"929,832",4.39,11.21
SBS,"37,800",650,+1.75%,"5,000","18,253","6,899",0.00,"82,657",4.52,20.64
한세실업,"17,190",90,+0.53%,500,"40,000","6,876",10.79,"208,615",8.03,17.10
티웨이항공,"3,520",60,+1.73%,500,"194,414","6,843",0.95,"1,615,529",-5.30,-222.35
대신증권,"13,320",70,+0.53%,"5,000","50,773","6,763",11.73,"17,237",9.97,4.38
우리종금,769,0,0.00%,500,"874,203","6,723",2.56,"621,571",7.32,14.40
바이오노트,"6,570",140,-2.09%,500,"101,876","6,693",1.15,"353,235",2.00,21.48
자화전자,"30,850",650,+2.15%,500,"21,684","6,690",4.61,"392,442",-15.56,-11.90
대상,"19,230",100,+0.52%,"1,000","34,648","6,663",10.14,"84,599",8.34,6.57
삼양홀딩스,"77,600",600,+0.78%,"5,000","8,564","6,646",8.05,"10,430",9.69,4.01
LX홀딩스,"8,610",50,-0.58%,"1,000","76,281","6,568",9.71,"99,972",3.94,N/A
DI동일,"25,450",600,-2.30%,500,"25,568","6,507",2.19,"388,788",12.31,9.37
삼성 인버스 2X 천연가스 선물 ETN C,"65,045","4,360",-6.28%,0,"10,000","6,504",0.00,"32,344",N/A,N/A
영풍제지,"29,150",650,-2.18%,500,"22,295","6,499",2.76,"364,375",81.65,5.91
드림텍,"9,630",20,+0.21%,100,"67,446","6,495",24.28,"301,835",9.95,17.24
SK디스커버리,"34,100",350,+1.04%,"5,000","19,038","6,492",9.51,"42,433",1.63,16.34
한국단자,"61,900",700,-1.12%,500,"10,415","6,447",21.61,"21,525",13.23,5.69
KODEX MSCI Korea TR,"11,315",0,0.00%,0,"56,900","6,438",1.16,"48,311",N/A,N/A
SPC삼립,"74,600","1,100",+1.50%,"5,000","8,629","6,437",3.05,"10,719",12.09,14.70
보령,"9,170",100,-1.08%,500,"68,690","6,299",6.38,"137,891",15.03,8.47
ARIRANG 200,"34,525",85,-0.25%,0,"18,150","6,266",0.21,"49,708",N/A,N/A
한화투자증권,"2,895",35,-1.19%,"5,000","214,548","6,211",6.71,"442,457",-11.58,-3.20
한섬,"25,200",0,0.00%,500,"24,630","6,207",25.39,"48,702",5.05,9.56
애경산업,"23,500","1,500",+6.82%,"1,000","26,410","6,206",3.88,"302,822",37.48,4.70
ACE 종합채권(AA-이상)KIS액티브,"96,470",85,-0.09%,0,"6,407","6,181",0.00,"6,696",N/A,N/A
삼성SDI우,"381,500","18,500",+5.10%,"5,000","1,618","6,172",19.88,"21,061",13.75,N/A
쏘카,"18,740",180,-0.95%,100,"32,762","6,140",0.60,"33,025",-31.44,-9.10
세아제강지주,"147,100","1,400",-0.94%,"5,000","4,142","6,092",8.80,"22,769",2.19,20.56
부광약품,"8,480",70,-0.82%,500,"71,063","6,026",6.09,"112,983",-242.29,-0.93
동원F&B,"156,100",0,0.00%,"5,000","3,859","6,024",6.77,0,6.63,10.80
삼성 레버리지 WTI원유 선물 ETN,"1,490",35,-2.30%,0,"404,000","6,020",0.00,"448,915",N/A,N/A
일동제약,"22,150",350,-1.56%,"1,000","26,803","5,937",6.67,"190,517",-4.12,-82.28
HD현대에너지솔루션,"52,900",0,0.00%,"5,000","11,200","5,925",11.44,"466,348",9.77,17.27
LG생활건강우,"281,500","10,000",+3.68%,"5,000","2,100","5,911",64.49,"12,250",21.08,N/A
영진약품,"3,220",115,-3.45%,500,"182,893","5,889",4.88,"1,236,662",-26.83,-22.55
동양생명,"3,645",50,-1.35%,"5,000","161,359","5,882",82.28,"85,684",7.94,2.99
쿠쿠홈시스,"26,150",150,-0.57%,100,"22,437","5,867",5.00,"30,113",5.11,17.66
이수페타시스,"9,180",390,-4.08%,"1,000","63,246","5,806",7.11,"3,676,012",5.67,58.92
현대홈쇼핑,"48,250",300,-0.62%,"5,000","12,000","5,790",24.89,"10,793",6.71,4.50
지누스,"30,250",150,+0.50%,500,"18,901","5,717",13.41,"40,624",18.82,5.32
ACE 미국S&P500,"13,865",85,+0.62%,0,"41,200","5,712",0.73,"456,198",N/A,N/A
TIGER KOFR금리액티브(합성),"101,305",5,0.00%,0,"5,609","5,682",0.00,"13,728",N/A,N/A
엠씨넥스,"31,600",600,-1.86%,500,"17,978","5,681",7.61,"73,413",24.73,7.56
파미셀,"9,450",160,-1.66%,500,"60,017","5,672",9.57,"354,488",51.92,15.16
유안타증권,"2,805",20,-0.71%,"5,000","199,597","5,599",64.68,"108,201",13.23,2.93
QV 코스피 변동성 매칭형 양매도 ETN,"7,940",0,0.00%,0,"70,000","5,558",0.00,0,N/A,N/A
TIGER 단기채권액티브,"51,835",10,-0.02%,0,"10,718","5,556",0.01,"84,382",N/A,N/A
쿠쿠홀딩스,"15,620",30,-0.19%,100,"35,562","5,555",7.02,"26,377",4.76,12.72
HSD엔진,"7,720",130,-1.66%,"1,000","71,544","5,523",2.97,"386,971",-12.29,-18.70
KBSTAR 단기통안채,"107,540",15,+0.01%,0,"5,104","5,489",0.94,"3,143,230",N/A,N/A
KBSTAR 23-11 회사채(AA-이상)액티브,"51,490",15,+0.03%,0,"10,644","5,481",0.00,"17,732",N/A,N/A
동아쏘시오홀딩스,"85,800",900,-1.04%,"5,000","6,349","5,447",12.76,"8,168",48.83,1.15
신한 레버리지 WTI원유 선물 ETN(H),"1,075",35,-3.15%,0,"500,000","5,375",0.00,"162,531",N/A,N/A
티와이홀딩스,"10,520",180,-1.68%,500,"50,929","5,358",5.02,"44,186",6.00,6.31
HANARO 200,"33,810",150,-0.44%,0,"15,750","5,325",0.12,"2,740",N/A,N/A
KODEX 선진국MSCI World,"21,555",45,+0.21%,0,"24,650","5,313",0.00,"245,325",N/A,N/A
동일산업,"218,000",0,0.00%,"5,000","2,425","5,287",2.06,720,24.20,5.33
한국카본,"12,000",250,-2.04%,500,"43,961","5,275",11.02,"370,458",26.03,5.11
TIGER 글로벌리튬&2차전지SOLACTIVE(합성),"9,470",160,+1.72%,0,"55,520","5,258",0.19,"180,652",N/A,N/A
LF,"17,880",210,+1.19%,"5,000","29,240","5,228",22.21,"24,670",3.43,10.86
고려제강,"20,850",100,+0.48%,"1,000","25,000","5,212",7.55,"43,947",6.43,5.18
신영증권,"55,400",200,-0.36%,"5,000","9,386","5,200",7.60,"1,520",15.57,6.45
삼성화재우,"162,900","1,400",+0.87%,500,"3,192","5,200",24.11,"12,538",6.43,N/A
미래에셋증권2우B,"3,705",0,0.00%,"5,000","140,000","5,187",10.29,"43,938",4.46,N/A
한화손해보험,"4,405",25,-0.56%,"5,000","116,739","5,142",8.09,"266,000",2.21,27.68
경동나비엔,"35,050",350,-0.99%,"1,000","14,569","5,106",7.18,"13,607",9.53,11.07
화승엔터프라이즈,"8,420",200,-2.32%,500,"60,589","5,102",3.35,"192,652",-51.03,-1.86
진원생명과학,"6,490",110,-1.67%,"1,000","77,752","5,046",15.14,"506,443",-13.22,-19.67
KOSEF 200TR,"41,330",115,-0.28%,0,"12,200","5,042",0.15,"3,368",N/A,N/A
TIGER 24-10 회사채(A+이상)액티브,"52,510",10,+0.02%,0,"9,510","4,994",0.10,"198,472",N/A,N/A
JW중외제약,"21,850",350,-1.58%,"2,500","22,835","4,989",8.04,"56,896",16.60,14.45
SK디앤디,"22,050",600,+2.80%,"1,000","22,190","4,893",5.25,"217,604",6.96,11.47
유니드,"72,100","1,100",-1.50%,"5,000","6,768","4,879",12.18,"20,839",4.96,13.10
롯데손해보험,"1,568",8,+0.51%,"1,000","310,336","4,866",0.67,"89,620",-7.72,-8.70
동아에스티,"57,600","1,400",-2.37%,"5,000","8,447","4,865",20.94,"8,011",36.62,2.04
KODEX 미국S&P500TR,"12,255",75,+0.62%,0,"39,550","4,847",0.87,"224,611",N/A,N/A
화신,"13,860",860,-5.84%,500,"34,920","4,840",5.58,"1,202,926",6.52,23.00
조일알미늄,"3,820",420,+12.35%,500,"126,632","4,837",1.72,"71,086,842",26.90,10.08
미래에셋생명,"2,705",50,+1.88%,"5,000","177,016","4,788",2.23,"318,123",9.33,3.56
롯데정보통신,"30,850",50,+0.16%,"5,000","15,396","4,750",1.99,"416,219",15.58,7.11
아모레퍼시픽우,"44,550","1,050",+2.41%,500,"10,558","4,704",60.07,"22,278",22.88,N/A
DB,"2,330",45,-1.89%,500,"201,174","4,687",2.52,"4,861,155",83.21,1.58
에어부산,"4,015",205,+5.38%,"1,000","116,640","4,683",1.12,"1,308,868",-2.29,-116.96
TIGER KRX2차전지K-뉴딜,"20,220",220,+1.10%,0,"23,050","4,661",2.70,"1,096,513",N/A,N/A
TIGER 미국달러단기채권액티브,"11,400",60,+0.53%,0,"40,790","4,650",0.14,"64,990",N/A,N/A
삼화콘덴서,"44,250","1,150",-2.53%,"1,000","10,395","4,600",5.85,"69,151",15.79,13.69
NICE,"12,090",50,-0.41%,500,"37,882","4,580",12.47,"12,278",12.46,4.90
콘텐트리중앙,"23,700",650,+2.82%,"5,000","19,262","4,565",1.14,"167,333",-10.50,-23.94
세아홀딩스,"113,500","1,500",-1.30%,"5,000","4,000","4,540",0.58,716,3.68,6.14
KODEX 코스닥150,"13,750",60,-0.43%,0,"33,000","4,538",16.06,"2,210,418",N/A,N/A
ACE 미국나스닥100,"13,230",55,+0.42%,0,"34,100","4,511",0.00,"132,846",N/A,N/A
TIGER 미국S&P500선물(H),"48,005",55,+0.11%,0,"9,375","4,500",0.02,"1,193,464",N/A,N/A
코람코에너지리츠,"5,070",60,-1.17%,500,"88,534","4,489",1.35,"65,846",39.00,2.80
SGC에너지,"30,350",300,-0.98%,"5,000","14,677","4,454",4.77,"28,236",3.95,17.44
KB스타리츠,"4,380",60,-1.35%,500,"101,414","4,442",0.07,"49,111",-70.65,N/A
ARIRANG 종합채권(AA-이상)액티브,"103,310",0,0.00%,0,"4,285","4,427",0.00,0,N/A,N/A
TIGER 차이나항셍테크,"6,090",40,-0.65%,0,"72,450","4,412",0.26,"1,199,949",N/A,N/A
세아제강,"155,100","1,300",+0.85%,"5,000","2,836","4,399",12.09,"79,405",2.76,21.12
남해화학,"8,850",90,-1.01%,"1,000","49,679","4,397",5.57,"149,386",9.31,9.65
삼양사,"42,600","1,200",-2.74%,"5,000","10,313","4,394",4.23,"10,032",6.60,5.33
ACE 200,"34,240",65,-0.19%,0,"12,750","4,366",9.85,"21,393",N/A,N/A
송원산업,"18,020",50,-0.28%,500,"24,000","4,325",19.48,"98,702",3.28,21.53
BGF,"4,510",55,-1.20%,"1,000","95,717","4,317",4.45,"58,589",18.26,1.50
빙그레,"43,600",700,+1.63%,"5,000","9,851","4,295",18.53,"16,043",16.72,4.53
에스엠벡셀,"3,855",835,+27.65%,500,"111,252","4,289",0.40,"18,328,954",41.45,18.57
KODEX 미국FANG플러스(H),"22,630",160,-0.70%,0,"18,870","4,270",0.24,"103,922",N/A,N/A
신한알파리츠,"5,760",110,+1.95%,"1,000","73,830","4,253",5.66,"307,148",31.82,1.39
포스코스틸리온,"70,700","10,300",+17.05%,"5,000","6,000","4,242",1.52,"4,188,388",18.68,6.84
KODEX 미국나스닥100TR,"11,400",45,+0.40%,0,"37,150","4,235",0.23,"137,983",N/A,N/A
풍산홀딩스,"41,950","1,250",-2.89%,"5,000","9,999","4,194",9.83,"120,395",5.97,7.94
조선내화,"10,280","1,850",+21.95%,500,"40,000","4,112",2.78,"514,004",10.05,6.03
신성이엔지,"1,989",51,-2.50%,500,"205,848","4,094",5.37,"2,808,603",11.98,16.30
KODEX 단기변동금리부채권액티브,"106,355",30,+0.03%,0,"3,829","4,072",0.00,166,N/A,N/A
국도화학,"45,150",650,-1.42%,"5,000","9,011","4,068",19.16,"8,436",5.47,9.03
